"","Unique.Sample.Identifier","clust","cluster"
"1","MAC_W_001",3,"3"
"2","MAC_W_002",1,"S3"
"3","MAC_W_010",1,"S3"
"4","MAC_W_011",1,"S3"
"5","MAC_W_016",1,"S3"
"6","MAC_W_017",1,"S3"
"7","MAC_W_018",1,"S2"
"8","MAC_W_019",1,"S3"
"9","MAC_W_020",1,"S3"
"10","MAC_W_021",1,"S3"
"11","MAC_W_022",1,"S3"
"12","MAC_W_023",1,"S3"
"13","MAC_W_024",1,"S3"
"14","MAC_W_025",2,"2"
"15","MAC_W_026",1,"S3"
"16","MAC_W_027",1,"S3"
"17","MAC_W_028",1,"S3"
"18","MAC_W_029",4,"4"
"19","MAC_W_030",1,"S3"
"20","MAC_W_031",1,"S3"
"21","MAC_W_032",1,"S2"
"22","MAC_W_033",1,"S3"
"23","MAC_W_034",1,"S3"
"24","MAC_W_035",1,"S4"
"25","MAC_W_036",1,"S3"
"26","MAC_W_037",1,"S3"
"27","MAC_W_038",1,"S3"
"28","MAC_W_039",1,"S3"
"29","MAC_W_040",1,"S3"
"30","MAC_W_041",1,"S3"
"31","MAC_W_042",1,"S3"
"32","MAC_W_043",1,"S3"
"33","MAC_W_044",1,"S3"
"34","MAC_W_045",1,"S3"
"35","MAC_W_046",1,"S3"
"36","MAC_W_047",1,"S3"
"37","MAC_W_048",1,"S3"
"38","MAC_W_049",1,"S4"
"39","MAC_W_054",1,"S3"
"40","MAC_W_055",1,"S3"
"41","MAC_W_056",1,"S3"
"42","MAC_W_064",1,"S1"
"43","MAC_W_065",1,"S1"
"44","MAC_W_066",1,"S3"
"45","MAC_W_067",1,"S3"
"46","MAC_W_068",1,"S3"
"47","MAC_W_074",1,"S3"
"48","MAC_W_075",1,"S3"
"49","MAC_W_076",1,"S3"
"50","MAC_W_077",1,"S3"
"51","MAC_W_078",1,"S3"
"52","MAC_W_079",1,"S3"
"53","MAC_W_080",1,"S3"
"54","MAC_W_081",1,"S3"
"55","MAC_W_082",1,"S3"
"56","MAC_W_090",1,"S1"
"57","MAC_W_091",1,"S3"
"58","MAC_W_092",1,"S3"
"59","MAC_W_100",1,"S3"
"60","MAC_W_101",1,"S3"
"61","MAC_W_108",1,"S2"
"62","MAC_W_109",1,"S3"
"63","MAC_W_116",1,"S3"
"64","MAC_W_117",1,"S3"
"65","MAC_W_118",1,"S3"
"66","MAC_W_119",1,"S3"
"67","MAC_W_120",1,"S3"
"68","MAC_W_121",1,"S3"
"69","MAC_W_122",1,"S3"
"70","MAC_W_123",1,"S4"
"71","MAC_W_129",1,"S3"
"72","MAC_W_141",1,"S3"
