"","Unique.Sample.Identifier","clust"
"1","MIC_S_001",1
"2","MIC_S_002",1
"3","MIC_S_003",1
"4","MIC_S_004",1
"5","MIC_S_005",2
"6","MIC_S_006",1
"7","MIC_S_007",1
"8","MIC_S_008",1
"9","MIC_S_009",2
"10","MIC_S_010",1
"11","MIC_S_011",1
"12","MIC_S_012",2
"13","MIC_S_017",6
"14","MIC_S_018",2
"15","MIC_S_019",2
"16","MIC_S_020",2
"17","MIC_S_021",2
"18","MIC_S_022",2
"19","MIC_S_023",2
"20","MIC_S_026",4
"21","MIC_S_027",5
"22","MIC_S_034",3
"23","MIC_S_035",5
"24","MIC_S_036",4
"25","MIC_S_037",2
"26","MIC_S_038",2
"27","MIC_S_039",4
