"","Unique.Sample.Identifier","clust","cluster"
"1","MIC_W_001",2,"2"
"2","MIC_W_009",1,"S2"
"3","MIC_W_010",2,"2"
"4","MIC_W_011",1,"S5"
"5","MIC_W_012",1,"S5"
"6","MIC_W_013",1,"S4"
"7","MIC_W_014",1,"S1"
"8","MIC_W_015",1,"S5"
"9","MIC_W_016",1,"S5"
"10","MIC_W_017",1,"S4"
"11","MIC_W_018",1,"S4"
"12","MIC_W_019",1,"S4"
"13","MIC_W_020",1,"S4"
"14","MIC_W_023",1,"S5"
"15","MIC_W_024",1,"S4"
"16","MIC_W_025",1,"S4"
"17","MIC_W_026",1,"S4"
"18","MIC_W_027",1,"S2"
"19","MIC_W_028",1,"S2"
"20","MIC_W_034",3,"3"
"21","MIC_W_035",1,"S4"
"22","MIC_W_036",1,"S4"
"23","MIC_W_037",1,"S5"
"24","MIC_W_038",1,"S5"
"25","MIC_W_039",1,"S5"
"26","MIC_W_040",1,"S3"
"27","MIC_W_041",1,"S4"
"28","MIC_W_042",1,"S4"
"29","MIC_W_043",1,"S4"
"30","MIC_W_044",1,"S4"
"31","MIC_W_045",1,"S4"
"32","MIC_W_046",1,"S3"
"33","MIC_W_054",1,"S2"
"34","MIC_W_055",1,"S4"
"35","MIC_W_056",1,"S1"
"36","MIC_W_064",1,"S5"
"37","MIC_W_065",1,"S5"
"38","MIC_W_066",1,"S5"
"39","MIC_W_067",1,"S4"
"40","MIC_W_068",2,"2"
"41","MIC_W_069",1,"S5"
"42","MIC_W_072",1,"S5"
"43","MIC_W_076",1,"S3"
"44","MIC_W_077",1,"S5"
"45","MIC_W_078",1,"S5"
"46","MIC_W_086",1,"S3"
"47","MIC_W_087",1,"S2"
"48","MIC_W_088",1,"S4"
"49","MIC_W_096",3,"3"
"50","MIC_W_104",1,"S4"
"51","MIC_W_116",3,"3"
"52","MIC_W_117",3,"3"
"53","MIC_W_118",3,"3"
"54","MIC_W_143",3,"3"
"55","MIC_W_144",1,"S4"
"56","MIC_W_145",1,"S4"
"57","MIC_W_146",1,"S5"
"58","MIC_W_148",1,"S4"
"59","MIC_W_149",3,"3"
"60","MIC_W_150",3,"3"
"61","MIC_W_156",1,"S4"
"62","MIC_W_157",3,"3"
"63","MIC_W_158",3,"3"
"64","MIC_W_159",3,"3"
