"","X.1","X","Code.Campaign","Date","Sampling.Location","Unique.Sample.Identifier","Sample.Type","Matrix","Volume..L.","DW..Sediment..kg.","Particle.count","Total.plastic.mass..kg.","Concentration..g.plastic.L.water.","Concentration..g.plastic.kg.dry.weight.sediment.","Sediment.type","Depth.Sample..m.","T1..START.","T2..STOP.","Tide","Unique.Particle.Identifier","Replicate..sediment.","Polymer","Match","Lenght..mm.","Width..mm.","Maximal.dimension..mm.","Weight..mg.","Color","Shape_obs","Sampling.Area","Type.of.Campaign","Sampling.Location.specific","Sampling.Area.general","LengthWidthratio","estimated.Hight..mm.","CSF","Shape_est","SizeClass","Transpar_NERC","Color_NERC","Color_NERC_Interreg","Shape_NERC","Shape_tot","Polymer_NERC","Diff_Time","T2..STOP..1","Diff_time"
"1",31784,31784,"SH_20_02a","2020-12-08","River Scheldt (Doel)","MAC_S_002","Macroplastics (> 5 mm)","Sediment",NA,0.526779,0,0,NA,0,"Sand",9,"1899-12-31 07:01:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"River Scheldt","Spotsampling","Doel","River Scheldt (Downstream)",NA,NA,NA,NA,NA,NA,NA,"UNDEFINED",NA,NA,NA,NA,NA,NA
"2",31785,31785,"SH_20_02a","2020-12-08","River Scheldt (Antwerpen)","MAC_S_003","Macroplastics (> 5 mm)","Sediment",NA,0.78782,0,0,NA,0,"Sludge",11,"1899-12-31 18:46:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"River Scheldt","Spotsampling","Antwerp","River Scheldt (Upstream)",NA,NA,NA,NA,NA,NA,NA,"UNDEFINED",NA,NA,NA,NA,NA,NA
"3",31786,31786,"OS_20_02","2020-07-10","Port of Oostende (A)","MAC_S_004","Macroplastics (> 5 mm)","Sediment",NA,0.365242,0,0,NA,0,"Sludge",4,"1899-12-31 09:47:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Port of Oostende","Spotsampling","Ostend (A)","Port of Ostend",NA,NA,NA,NA,NA,NA,NA,"UNDEFINED",NA,NA,NA,NA,NA,NA
"4",31787,31787,"OS_20_02","2020-07-10","Port of Oostende (B)","MAC_S_005","Macroplastics (> 5 mm)","Sediment",NA,0.393395,0,0,NA,0,"Sludge",9.2,"1899-12-31 10:24:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Port of Oostende","Spotsampling","Ostend (B)","Port of Ostend",NA,NA,NA,NA,NA,NA,NA,"UNDEFINED",NA,NA,NA,NA,NA,NA
"5",31788,31788,"OS_20_02","2020-07-10","Port of Oostende (C)","MAC_S_006","Macroplastics (> 5 mm)","Sediment",NA,0.406342,0,0,NA,0,"Sludge",4,"1899-12-31 11:00:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Port of Oostende","Spotsampling","Ostend (C)","Port of Ostend",NA,NA,NA,NA,NA,NA,NA,"UNDEFINED",NA,NA,NA,NA,NA,NA
"6",31789,31789,"NP_20_03","2020-10-07","Port of Nieuwpoort (A)","MAC_S_007","Macroplastics (> 5 mm)","Sediment",NA,0.550849,0,0,NA,0,"Sand",4.6,"1899-12-31 14:22:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Port of Nieuwpoort","Spotsampling","Nieuwpoort (A)","Port of Nieuwpoort",NA,NA,NA,NA,NA,NA,NA,"UNDEFINED",NA,NA,NA,NA,NA,NA
"7",31790,31790,"NP_20_03","2020-10-07","Port of Nieuwpoort (B)","MAC_S_008","Macroplastics (> 5 mm)","Sediment",NA,0.490197,0,0,NA,0,"Sludge",4,"1899-12-31 15:04:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Port of Nieuwpoort","Spotsampling","Nieuwpoort (B)","Port of Nieuwpoort",NA,NA,NA,NA,NA,NA,NA,"UNDEFINED",NA,NA,NA,NA,NA,NA
"8",31791,31791,"NP_20_03","2020-10-07","Port of Nieuwpoort (C)","MAC_S_009","Macroplastics (> 5 mm)","Sediment",NA,0.342769,0,0,NA,0,"Sludge",2.5,"1899-12-31 13:32:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Port of Nieuwpoort","Spotsampling","Nieuwpoort (C)","Port of Nieuwpoort",NA,NA,NA,NA,NA,NA,NA,"UNDEFINED",NA,NA,NA,NA,NA,NA
"9",31792,31792,"SH_21_02","2021-02-03","River Scheldt (Temse)","MAC_S_010","Macroplastics (> 5 mm)","Sediment",NA,0.81536,0,0,NA,0,"Sand",4,"1899-12-31 14:45:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"River Scheldt","Spotsampling","Temse","River Scheldt (Upstream)",NA,NA,NA,NA,NA,NA,NA,"UNDEFINED",NA,NA,NA,NA,NA,NA
"10",31793,31793,"NP_21_01","2021-03-12","Port of Nieuwpoort (A)","MAC_S_011","Macroplastics (> 5 mm)","Sediment",NA,0.325817,0,0,NA,0,"Sludge+sand",10,"1899-12-31 12:15:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Port of Nieuwpoort","Spotsampling","Nieuwpoort (A)","Port of Nieuwpoort",NA,NA,NA,NA,NA,NA,NA,"UNDEFINED",NA,NA,NA,NA,NA,NA
