"","X.1","X","Code.Campaign","Date","Sampling.Location","Unique.Sample.Identifier","Sample.Type","Matrix","Volume..L.","DW..Sediment..kg.","Particle.count","Total.plastic.mass..kg.","Concentration..g.plastic.L.water.","Concentration..g.plastic.kg.dry.weight.sediment.","Sediment.type","Depth.Sample..m.","T1..START.","T2..STOP.","Tide","Unique.Particle.Identifier","Replicate..sediment.","Polymer","Match","Lenght..mm.","Width..mm.","Maximal.dimension..mm.","Weight..mg.","Color","Shape_obs","Sampling.Area","Type.of.Campaign","Sampling.Location.specific","Sampling.Area.general","LengthWidthratio","estimated.Hight..mm.","CSF","Shape_est","SizeClass","Transpar_NERC","Color_NERC","Color_NERC_Interreg","Shape_NERC","Shape_tot","Polymer_NERC","Diff_Time","T2..STOP..1","Diff_time"
"1",31846,31846,"SH_20_02a","2020-12-08","River Scheldt (Wintam)","MAC_W_001","Macroplastics (> 5 mm)","Water",13338,NA,21,0.6,0.0000449843,NA,NA,1,"1899-12-31 19:07:00","1899-12-31 19:13:00",NA,"MAC_W_001_1",NA,"Polypropyleen",NA,130,NA,130,13,"WHITE","ND","River Scheldt","Spotsampling","Wintam","River Scheldt (Upstream)",NA,NA,NA,NA,"SC7","opaque","WHITE/CREAM","WHITE/CREAM","Undefined micro-litter items","Undefined micro-litter items","polypropylene",6,NA,NA
"2",31847,31847,"SH_20_02a","2020-12-08","River Scheldt (Wintam)","MAC_W_001","Macroplastics (> 5 mm)","Water",13338,NA,21,0.6,0.0000449843,NA,NA,1,"1899-12-31 19:07:00","1899-12-31 19:13:00",NA,"MAC_W_001_10",NA,"Polyethyleen",NA,27,NA,27,2.7,"WHITE","ND","River Scheldt","Spotsampling","Wintam","River Scheldt (Upstream)",NA,NA,NA,NA,"SC5","opaque","WHITE/CREAM","WHITE/CREAM","Undefined micro-litter items","Undefined micro-litter items","polyethylene",6,NA,NA
"3",31848,31848,"SH_20_02a","2020-12-08","River Scheldt (Wintam)","MAC_W_001","Macroplastics (> 5 mm)","Water",13338,NA,21,0.6,0.0000449843,NA,NA,1,"1899-12-31 19:07:00","1899-12-31 19:13:00",NA,"MAC_W_001_11",NA,"Ethylene-vinyl-acetate",NA,25,NA,25,2.5,"WHITE","ND","River Scheldt","Spotsampling","Wintam","River Scheldt (Upstream)",NA,NA,NA,NA,"SC5","opaque","WHITE/CREAM","WHITE/CREAM","Undefined micro-litter items","Undefined micro-litter items","ethylene-vinyl-acetate",6,NA,NA
"4",31849,31849,"SH_20_02a","2020-12-08","River Scheldt (Wintam)","MAC_W_001","Macroplastics (> 5 mm)","Water",13338,NA,21,0.6,0.0000449843,NA,NA,1,"1899-12-31 19:07:00","1899-12-31 19:13:00",NA,"MAC_W_001_12",NA,"Polypropyleen",NA,90,NA,90,9,"WHITE","ND","River Scheldt","Spotsampling","Wintam","River Scheldt (Upstream)",NA,NA,NA,NA,"SC6","opaque","WHITE/CREAM","WHITE/CREAM","Undefined micro-litter items","Undefined micro-litter items","polypropylene",6,NA,NA
"5",31850,31850,"SH_20_02a","2020-12-08","River Scheldt (Wintam)","MAC_W_001","Macroplastics (> 5 mm)","Water",13338,NA,21,0.6,0.0000449843,NA,NA,1,"1899-12-31 19:07:00","1899-12-31 19:13:00",NA,"MAC_W_001_13",NA,"Polyethyleen",NA,9,NA,9,0.9,"WHITE","ND","River Scheldt","Spotsampling","Wintam","River Scheldt (Upstream)",NA,NA,NA,NA,"SC4","opaque","WHITE/CREAM","WHITE/CREAM","Undefined micro-litter items","Undefined micro-litter items","polyethylene",6,NA,NA
"6",31851,31851,"SH_20_02a","2020-12-08","River Scheldt (Wintam)","MAC_W_001","Macroplastics (> 5 mm)","Water",13338,NA,21,0.6,0.0000449843,NA,NA,1,"1899-12-31 19:07:00","1899-12-31 19:13:00",NA,"MAC_W_001_14",NA,"Polyethyleen",NA,7,NA,7,0.7,"GREY","ND","River Scheldt","Spotsampling","Wintam","River Scheldt (Upstream)",NA,NA,NA,NA,"SC4","opaque","BLACK/GREY","BLACK/GREY","Undefined micro-litter items","Undefined micro-litter items","polyethylene",6,NA,NA
"7",31852,31852,"SH_20_02a","2020-12-08","River Scheldt (Wintam)","MAC_W_001","Macroplastics (> 5 mm)","Water",13338,NA,21,0.6,0.0000449843,NA,NA,1,"1899-12-31 19:07:00","1899-12-31 19:13:00",NA,"MAC_W_001_15",NA,"Polyethyleen",NA,28,NA,28,2.8,"TRANSPARENT","ND","River Scheldt","Spotsampling","Wintam","River Scheldt (Upstream)",NA,NA,NA,NA,"SC5","transparent/translucent","COLOURLESS","COLOURLESS","Undefined micro-litter items","Undefined micro-litter items","polyethylene",6,NA,NA
"8",31853,31853,"SH_20_02a","2020-12-08","River Scheldt (Wintam)","MAC_W_001","Macroplastics (> 5 mm)","Water",13338,NA,21,0.6,0.0000449843,NA,NA,1,"1899-12-31 19:07:00","1899-12-31 19:13:00",NA,"MAC_W_001_16",NA,"Polyethyleen",NA,29,NA,29,2.9,"WHITE","ND","River Scheldt","Spotsampling","Wintam","River Scheldt (Upstream)",NA,NA,NA,NA,"SC5","opaque","WHITE/CREAM","WHITE/CREAM","Undefined micro-litter items","Undefined micro-litter items","polyethylene",6,NA,NA
"9",31854,31854,"SH_20_02a","2020-12-08","River Scheldt (Wintam)","MAC_W_001","Macroplastics (> 5 mm)","Water",13338,NA,21,0.6,0.0000449843,NA,NA,1,"1899-12-31 19:07:00","1899-12-31 19:13:00",NA,"MAC_W_001_17",NA,"Polyethyleen",NA,15,NA,15,1.5,"WHITE","Hard plastic","River Scheldt","Spotsampling","Wintam","River Scheldt (Upstream)",NA,NA,NA,NA,"SC5","opaque","WHITE/CREAM","WHITE/CREAM","fragments","fragments","polyethylene",6,NA,NA
"10",31855,31855,"SH_20_02a","2020-12-08","River Scheldt (Wintam)","MAC_W_001","Macroplastics (> 5 mm)","Water",13338,NA,21,0.6,0.0000449843,NA,NA,1,"1899-12-31 19:07:00","1899-12-31 19:13:00",NA,"MAC_W_001_18",NA,"Polyethyleen",NA,20,NA,20,2,"RED","ND","River Scheldt","Spotsampling","Wintam","River Scheldt (Upstream)",NA,NA,NA,NA,"SC5","opaque","RED","ORANGE/RED/PURPLE/PINK","Undefined micro-litter items","Undefined micro-litter items","polyethylene",6,NA,NA
