"","Unique Sample Identifier","Sampling Location","Matrix","Sediment type","Depth Sample (m)","Sampling Location specific","Mean slope","Depth river","Active overflow","Nearby vegetation","NaturalBank","width","meandering","Outside_insideBend","shortest distance from shore","radius (degree)","radius (km)","area (km²)","RWZI [nr]","Waste facilities [nr]","agriculture [km²]","industry  [km²]","transport  [km²]","urban  [km²]","water  [km²]","nature  [km²]","recreation  [km²]","waste  [km²]","human foot print","ecotope","pixels at flood risk","km² at flood risk","% buffer at flood risk","total flooding depth in buffer","average flooding depth in buffer","pop20","pop22","pop21","Pop_AVG","pop_dens","tot_precip","mean_temp","mean_windspeed","mean_winddirection","mean_pressure","mean_cloudiness","tot_precip_mean","mean_temp_mean","mean_windspeed_mean","mean_winddirection_mean","mean_pressure_mean","mean_cloudiness_mean","tot_precip_TOT"
"1","MAC_W_069","River Scheldt (Antwerpen)","Water","NA",1,"Antwerp",0.470055991739951,578,4,"No","No",440.237,"Yes","Middle",177.35,0.025,2.18509686118416,15,1,4,0,2.523,1.66,6.144,2.503,2.185,0.001,0,20.9269841269841,"Diep Subtidaal",111,1.41858,0.0374517457818045,381.646991938353,3.43826118863381,NA,NA,NA,NA,38844,0,4.02173913043477,4.34782608695651,215.217391304348,1012.52608695652,8,0,3.73502415458936,4.14371980676328,215.905797101449,1011.81147342995,6.86111111111111,0
"2","MAC_W_070","River Scheldt (Antwerpen)","Water","NA",1,"Antwerp",0.470055991739951,578,4,"No","No",440.237,"Yes","Middle",177.35,0.025,2.18509686118416,15,1,4,0,2.523,1.66,6.144,2.503,2.185,0.001,0,20.9269841269841,"Diep Subtidaal",111,1.41858,0.0374517457818045,381.646991938353,3.43826118863381,NA,NA,NA,NA,38844,0,4.02173913043477,4.34782608695651,215.217391304348,1012.52608695652,8,0,3.73502415458936,4.14371980676328,215.905797101449,1011.81147342995,6.86111111111111,0
"3","MAC_W_071","River Scheldt (Antwerpen)","Water","NA",1,"Antwerp",0.470055991739951,578,4,"No","No",440.237,"Yes","Middle",177.35,0.025,2.18509686118416,15,1,4,0,2.523,1.66,6.144,2.503,2.185,0.001,0,20.9269841269841,"Diep Subtidaal",111,1.41858,0.0374517457818045,381.646991938353,3.43826118863381,NA,NA,NA,NA,38844,0,4.02173913043477,4.34782608695651,215.217391304348,1012.52608695652,8,0,3.73502415458936,4.14371980676328,215.905797101449,1011.81147342995,6.86111111111111,0
"4","MAC_W_072","River Scheldt (Antwerpen)","Water","NA",1,"Antwerp",0.470055991739951,578,4,"No","No",440.237,"Yes","Middle",177.35,0.025,2.18509686118416,15,1,4,0,2.523,1.66,6.144,2.503,2.185,0.001,0,20.9269841269841,"Diep Subtidaal",111,1.41858,0.0374517457818045,381.646991938353,3.43826118863381,NA,NA,NA,NA,38844,0,4.02173913043477,4.34782608695651,215.217391304348,1012.52608695652,8,0,3.73502415458936,4.14371980676328,215.905797101449,1011.81147342995,6.86111111111111,0
"5","MAC_W_073","River Scheldt (Antwerpen)","Water","NA",1,"Antwerp",0.470055991739951,578,4,"No","No",440.237,"Yes","Middle",177.35,0.025,2.18509686118416,15,1,4,0,2.523,1.66,6.144,2.503,2.185,0.001,0,20.9269841269841,"Diep Subtidaal",111,1.41858,0.0374517457818045,381.646991938353,3.43826118863381,NA,NA,NA,NA,38844,0,4.02173913043477,4.34782608695651,215.217391304348,1012.52608695652,8,0,3.73502415458936,4.14371980676328,215.905797101449,1011.81147342995,6.86111111111111,0
"6","MIC_W_021","River Scheldt (Wintam)","Water","NA",1,"Wintam",0.578952432274277,1182,4,"Yes","Yes",162.84,"Yes","Middle",62.325,0.025,2.18509686118416,15,0,2,4.883,0.85,0,3.525,2.832,2.956,0,0,37.4145569620253,"Diep Subtidaal",550,7.029,0.185571713333265,1098.52699995786,1.9973218181052,NA,NA,NA,NA,14223,0,8.97173913043478,3.17391304347825,33.4782608695651,1018.3347826087,5.54545454545455,0,10.1653660349313,3.06117614269788,134.556856187291,1016.76020531401,6.15227526097092,0
"7","MIC_W_022","River Scheldt (Wintam)","Water","NA",1,"Wintam",0.578952432274277,1182,4,"Yes","Yes",162.84,"Yes","Middle",62.325,0.025,2.18509686118416,15,0,2,4.883,0.85,0,3.525,2.832,2.956,0,0,37.4145569620253,"Diep Subtidaal",550,7.029,0.185571713333265,1098.52699995786,1.9973218181052,NA,NA,NA,NA,14223,0,8.97173913043478,3.17391304347825,33.4782608695651,1018.3347826087,5.54545454545455,0,10.1653660349313,3.06117614269788,134.556856187291,1016.76020531401,6.15227526097092,0
"8","MAC_W_093","Port of Oostende (B)","Water","NA",1,"Ostend (B)",0.350893299484996,NA,0,"No","No",42.056,"No",NA,88.881,0.025,2.18509686118416,15,0,0,0.065,3.067,0.385,5.525,5.48,0.068,0.418,0,28.6181818181818,"Antropogeen",1,0.01278,0.000337403115151392,0.100000001490116,0.100000001490116,NA,NA,NA,NA,18379,0,13.5318181818182,1.81818181818181,170.47619047619,1022.00909090909,2.81818181818182,0,12.011994949495,2.70328282828283,165.376121463078,1026.62108585858,2.14772727272727,0
"9","MAC_W_094","Port of Oostende (B)","Water","NA",1,"Ostend (B)",0.350893299484996,NA,0,"No","No",42.056,"No",NA,88.881,0.025,2.18509686118416,15,0,0,0.065,3.067,0.385,5.525,5.48,0.068,0.418,0,28.6181818181818,"Antropogeen",1,0.01278,0.000337403115151392,0.100000001490116,0.100000001490116,NA,NA,NA,NA,18379,0,13.5318181818182,1.81818181818181,170.47619047619,1022.00909090909,2.81818181818182,0,12.011994949495,2.70328282828283,165.376121463078,1026.62108585858,2.14772727272727,0
"10","MIC_W_089","Port of Oostende (B)","Water","NA",1,"Ostend (B)",0.350893299484996,NA,0,"No","No",42.056,"No",NA,88.881,0.025,2.18509686118416,15,0,0,0.065,3.067,0.385,5.525,5.48,0.068,0.418,0,28.6181818181818,"Antropogeen",1,0.01278,0.000337403115151392,0.100000001490116,0.100000001490116,NA,NA,NA,NA,18379,0,13.5318181818182,1.81818181818181,170.47619047619,1022.00909090909,2.81818181818182,0,12.011994949495,2.70328282828283,165.376121463078,1026.62108585858,2.14772727272727,0
