"","PP_total_conc","PE_total_conc","PS_total_conc","Others_total_conc","Unknown_pm_total_conc","Unknown_shape_total_conc","fragments_total_conc","filaments_total_conc","pellets_total_conc","films_total_conc","foams_total_conc","others_shape_total_conc","SC3_total_conc","SC4_total_conc","SC5_total_conc","SC6_total_conc","SC7_total_conc","Loc_total_conc","clust","Unique.Sample.Identifier"
"MAC_W_001",0.524816314289999,0.974658869395711,0,0.0749737591842855,2.24921277552856,1.42450142450142,0.0749737591842855,0.0749737591842855,2.24921277552856,0,0,0,2.24921277552856,0.299895036737142,1.12460638776428,0.0749737591842855,0.0749737591842855,3.82366171839856,"3","MAC_W_001"
"MAC_W_002",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1","MAC_W_002"
"MAC_W_010",0,0.0957625089777352,0,0,0,0.0957625089777352,0,0,0,0,0,0,0,0,0,0.0957625089777352,0,0.0957625089777352,"1","MAC_W_010"
"MAC_W_011",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1","MAC_W_011"
"MAC_W_016",0,0.107299974963339,0,0,0,0.0715333166422261,0,0.0357666583211131,0,0,0,0,0,0,0.0715333166422261,0.0357666583211131,0,0.107299974963339,"1","MAC_W_016"
"MAC_W_017",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1","MAC_W_017"
"MAC_W_018",0.281214848143982,0.112485939257593,0,0,0,0.281214848143982,0,0.112485939257593,0,0,0,0,0,0.281214848143982,0.0562429696287964,0.0562429696287964,0,0.393700787401575,"1","MAC_W_018"
"MAC_W_019",0,0.0687143544286401,0,0,0,0,0,0.0687143544286401,0,0,0,0,0,0,0,0,0.0687143544286401,0.0687143544286401,"1","MAC_W_019"
"MAC_W_020",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1","MAC_W_020"
"MAC_W_021",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1","MAC_W_021"
"MAC_W_022",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1","MAC_W_022"
"MAC_W_023",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1","MAC_W_023"
"MAC_W_024",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1","MAC_W_024"
"MAC_W_025",0,0,0.292740046838407,0,0,0,0,0,0,0,0,0.292740046838407,0,0,0.292740046838407,0,0,0.292740046838407,"2","MAC_W_025"
"MAC_W_026",0.260365813968626,0,0,0,0,0,0.0650914534921565,0,0,0.195274360476469,0,0,0,0,0.260365813968626,0,0,0.260365813968626,"1","MAC_W_026"
"MAC_W_027",0.118990956687292,0.0594954783436459,0,0,0,0,0.118990956687292,0.0594954783436459,0,0,0,0,0,0.118990956687292,0.0594954783436459,0,0,0.178486435030938,"1","MAC_W_027"
"MAC_W_028",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1","MAC_W_028"
"MAC_W_029",5.16195638146858,2.58097819073429,21.680216802168,2.06478255258743,0,0,3.613369467028,0.387146728610143,12.9048909536714,3.613369467028,10.840108401084,0.129048909536714,12.9048909536714,8.25913021034972,8.25913021034972,1.03239127629372,1.03239127629372,31.4879339269583,"4","MAC_W_029"
"MAC_W_030",0.0399744163735209,0,0,0,0,0.0399744163735209,0,0,0,0,0,0,0,0,0,0,0.0399744163735209,0.0399744163735209,"1","MAC_W_030"
"MAC_W_031",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1","MAC_W_031"
"MAC_W_032",0.164149704530532,0.656598818122127,0.041037426132633,0,0,0,0,0,0.779711096520026,0.041037426132633,0.041037426132633,0,0.779711096520026,0.041037426132633,0.041037426132633,0,0,0.861785948785292,"1","MAC_W_032"
"MAC_W_033",0,0.0494982118770959,0.024749105938548,0,0,0,0,0,0.0494982118770959,0,0.024749105938548,0,0.0742473178156439,0,0,0,0,0.0742473178156439,"1","MAC_W_033"
"MAC_W_034",0.0957029380801991,0.191405876160398,0,0.0478514690400995,0,0,0,0,0.239257345200498,0.0957029380801991,0,0,0.239257345200498,0,0.0478514690400995,0,0.0478514690400995,0.334960283280697,"1","MAC_W_034"
"MAC_W_035",0.835558461845858,0.326957658983162,0,0.0363286287759069,0,0,0.0726572575518137,0.108985886327721,0,0.980872976949485,0,0.0363286287759069,0,0.0363286287759069,0.653915317966323,0.326957658983162,0.181643143879534,1.19884474960493,"1","MAC_W_035"
"MAC_W_036",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1","MAC_W_036"
"MAC_W_037",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1","MAC_W_037"
"MAC_W_038",0.0378888341605729,0,0,0,0,0.0378888341605729,0,0,0,0,0,0,0,0,0,0,0.0378888341605729,0.0378888341605729,"1","MAC_W_038"
"MAC_W_039",0.0548696844993141,0.0548696844993141,0,0,0,0,0,0,0.109739368998628,0,0,0,0.109739368998628,0,0,0,0,0.109739368998628,"1","MAC_W_039"
"MAC_W_040",0,0.0269850907373676,0,0,0,0,0,0,0.0269850907373676,0,0,0,0.0269850907373676,0,0,0,0,0.0269850907373676,"1","MAC_W_040"
"MAC_W_041",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1","MAC_W_041"
"MAC_W_042",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1","MAC_W_042"
"MAC_W_043",0.046882325363338,0.046882325363338,0,0,0,0.093764650726676,0,0,0,0,0,0,0,0,0.046882325363338,0.046882325363338,0,0.093764650726676,"1","MAC_W_043"
"MAC_W_044",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1","MAC_W_044"
"MAC_W_045",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1","MAC_W_045"
"MAC_W_046",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1","MAC_W_046"
"MAC_W_047",0.0748222970445193,0,0,0,0,0,0,0.0748222970445193,0,0,0,0,0,0,0,0.0748222970445193,0,0.0748222970445193,"1","MAC_W_047"
"MAC_W_048",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1","MAC_W_048"
"MAC_W_049",0.537906594102012,0.442981901025187,0,0.0632831287178838,0,0,0.126566257435768,0.15820782179471,0.189849386153651,0.569548158460954,0,0,0.189849386153651,0.379698772307303,0.379698772307303,0.0949246930768257,0,1.04417162384508,"1","MAC_W_049"
"MAC_W_054",0.0618314474741854,0,0,0,0,0,0,0,0,0.0618314474741854,0,0,0,0,0.0618314474741854,0,0,0.0618314474741854,"1","MAC_W_054"
"MAC_W_055",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1","MAC_W_055"
"MAC_W_056",0,0,0.0399313181328116,0,0,0.0399313181328116,0,0,0,0,0,0,0,0.0399313181328116,0,0,0,0.0399313181328116,"1","MAC_W_056"
"MAC_W_064",0.0744075300420403,0.0372037650210201,0,0.0372037650210201,0,0.11161129506306,0,0,0,0,0,0.0372037650210201,0,0,0.0744075300420403,0.0744075300420403,0,0.148815060084081,"1","MAC_W_064"
"MAC_W_065",0.105440742302826,0,0,0,0,0.0527203711514129,0,0,0,0,0,0.0527203711514129,0,0,0,0.105440742302826,0,0.105440742302826,"1","MAC_W_065"
"MAC_W_066",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1","MAC_W_066"
"MAC_W_067",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1","MAC_W_067"
