"","PP_total_conc","PE_total_conc","PS_total_conc","Others_total_conc","Unknown_pm_total_conc","Unknown_shape_total_conc","fragments_total_conc","filaments_total_conc","pellets_total_conc","films_total_conc","foams_total_conc","others_shape_total_conc","SC3_total_conc","SC4_total_conc","SC5_total_conc","SC6_total_conc","SC7_total_conc","Loc_total_conc","width","RWZI..nr.","Waste.facilities..nr.","agriculture..km..","industry...km..","recreation...km..","transport...km..","urban...km..","waste...km..","water...km..","pop_dens","mean_winddirection_mean","tot_precip_mean","mean_temp_mean","mean_windspeed_mean","Active.overflow","Nearby.vegetation","meandering","ecotope","Season","clust","Unique.Sample.Identifier"
"MAC_W_001",0.524816314289999,0.974658869395711,0,0.0749737591842855,2.24921277552856,1.42450142450142,0.0749737591842855,0.0749737591842855,2.24921277552856,0,0,0,2.24921277552856,0.299895036737142,1.12460638776428,0.0749737591842855,0.0749737591842855,3.82366171839856,162.84,0,2,4.883,0.85,0,0,3.525,0,2.832,14223,142.872807017544,0,1.37826086956522,1.65277777777777,4,"Nearby.vegetation_Yes","meandering_Yes","Diep Subtidaal","Winter","3","MAC_W_001"
"MAC_W_010",0,0.0957625089777352,0,0,0,0.0957625089777352,0,0,0,0,0,0,0,0,0,0.0957625089777352,0,0.0957625089777352,1245.45,0,0,1.265,4.679,0,0.765,0.513,0,6.426,24170,131.048300395256,0.766666666666663,1.47759661835749,1.89173973429952,0,"Nearby.vegetation_Yes","meandering_Yes","Diep Subtidaal","Winter","1","MAC_W_010"
"MAC_W_016",0,0.107299974963339,0,0,0,0.0715333166422261,0,0.0357666583211131,0,0,0,0,0,0,0.0715333166422261,0.0357666583211131,0,0.107299974963339,18.64,0,0,0,2.009,0.457,0.208,3.826,0,8.503,12185,264.659090909091,6.16666666666667,15.8685606060606,5.41035353535353,0,"Nearby.vegetation_No","meandering_No","Antropogeen","Summer","1","MAC_W_016"
"MAC_W_018",0.281214848143982,0.112485939257593,0,0,0,0.281214848143982,0,0.112485939257593,0,0,0,0,0,0.281214848143982,0.0562429696287964,0.0562429696287964,0,0.393700787401575,12.742,1,0,0.869,4.401,0.418,0.523,5.76,0,2.969,23412,264.659090909091,6.16666666666667,15.8685606060606,5.41035353535353,1,"Nearby.vegetation_No","meandering_No","Antropogeen","Summer","1","MAC_W_018"
"MAC_W_019",0,0.0687143544286401,0,0,0,0,0,0.0687143544286401,0,0,0,0,0,0,0,0,0.0687143544286401,0.0687143544286401,109.485,0,0,1.068,0.408,0.971,0,2.138,0,9.052,2278,240.770202020202,5.33333333333333,12.9366161616161,7.82828282828283,2,"Nearby.vegetation_No","meandering_No","Antropogeen","Autumn","1","MAC_W_019"
"MAC_W_025",0,0,0.292740046838407,0,0,0,0,0,0,0,0,0.292740046838407,0,0,0.292740046838407,0,0,0.292740046838407,162.84,0,2,4.883,0.85,0,0,3.525,0,2.832,14223,134.556856187291,0,10.1653660349313,3.06117614269788,4,"Nearby.vegetation_Yes","meandering_Yes","Diep Subtidaal","Autumn","2","MAC_W_025"
"MAC_W_026",0.260365813968626,0,0,0,0,0,0.0650914534921565,0,0,0.195274360476469,0,0,0,0,0.260365813968626,0,0,0.260365813968626,18.64,0,0,0,2.009,0.457,0.208,3.826,0,8.503,12204,145.857487922705,1.46666666666667,-0.629408212560387,6.35809178743961,0,"Nearby.vegetation_No","meandering_No","Antropogeen","Winter","1","MAC_W_026"
"MAC_W_027",0.118990956687292,0.0594954783436459,0,0,0,0,0.118990956687292,0.0594954783436459,0,0,0,0,0,0.118990956687292,0.0594954783436459,0,0,0.178486435030938,42.056,0,0,0.065,3.067,0.418,0.385,5.525,0,5.48,18379,145.857487922705,1.46666666666667,-0.629408212560387,6.35809178743961,0,"Nearby.vegetation_No","meandering_No","Antropogeen","Winter","1","MAC_W_027"
"MAC_W_029",5.16195638146858,2.58097819073429,21.680216802168,2.06478255258743,0,0,3.613369467028,0.387146728610143,12.9048909536714,3.613369467028,10.840108401084,0.129048909536714,12.9048909536714,8.25913021034972,8.25913021034972,1.03239127629372,1.03239127629372,31.4879339269583,277.86,0,0,0,6.846,0.792,0.123,1.667,0,4.557,38933,143.752958937198,0,19.3416666666666,2.21636111111111,1,"Nearby.vegetation_No","meandering_No","Antropogeen","Summer","4","MAC_W_029"
"MAC_W_030",0.0399744163735209,0,0,0,0,0.0399744163735209,0,0,0,0,0,0,0,0,0,0,0.0399744163735209,0.0399744163735209,1245.45,0,0,1.265,4.679,0,0.765,0.513,0,6.426,24170,82.3558025911288,0,9.77373737373738,3.10917753623188,0,"Nearby.vegetation_Yes","meandering_Yes","Diep Subtidaal","Autumn","1","MAC_W_030"
